Velocity[i] (m/s),Velocity[j] (m/s),Velocity[k] (m/s),Velocity: Magnitude (m/s),Mean of Velocity: Magnitude (m/s),Mean of Velocity[i] (m/s),X (m),Y (m),Z (m)
48.62744522,0.132630855,0.261443615,48.62832891,47.33409016,47.24311189,0.08,0.045,0.01075
49.04570389,1.064754725,0.49497965,49.05975721,47.89689044,47.89500093,0.08,0.04,0.01075
49.82098007,1.438760519,0.685260415,49.84646095,47.70641648,47.78792225,0.08,0.035,0.01075
50.54973984,2.667288542,1.251958251,50.63554113,47.2566389,47.4446476,0.08,0.03,0.01075
51.20728302,4.200300694,0.765925586,51.38496864,45.97951531,46.61197512,0.08,0.025,0.01075
45.63934708,9.347742081,-2.514617682,46.6546202,44.22138767,45.07783561,0.08,0.02,0.01075
38.40393829,14.3949337,-2.325698376,41.07901491,37.62164977,38.47302893,0.08,0.015,0.01075
34.27505493,17.03039551,-0.462628841,38.27568141,32.66648278,32.83033405,0.08,0.01,0.01075
32.20288849,17.63653946,1.112458587,36.73297041,30.45909117,28.91590153,0.08,0.005,0.01075
31.85476112,16.27230263,1.642359495,35.80797375,30.41212283,27.49330735,0.08,0,0.01075
32.67990875,13.83120155,1.203290462,35.50671036,31.98133478,28.83332936,0.08,-0.005,0.01075
34.28092194,11.10357285,0.61347121,36.03952394,35.79531398,32.68348545,0.08,-0.01,0.01075
36.37122726,8.508739471,0.37154156,37.35509153,41.76925395,38.35098452,0.08,-0.015,0.01075
38.85248566,5.645962238,0.338562638,39.26203199,47.92993898,44.80811682,0.08,-0.02,0.01075
40.93143082,4.007982731,0.227282658,41.12782041,48.44932152,46.70221642,0.08,-0.025,0.01075
43.73857498,2.790408134,0.037041519,43.82751066,48.31214717,47.32699475,0.08,-0.03,0.01075
44.46131897,1.87002933,0.073045917,44.50068797,48.39884521,47.63858463,0.08,-0.035,0.01075
44.92673492,1.130449295,0.12461219,44.94112765,48.4666351,47.846595,0.08,-0.04,0.01075
44.38149261,0.328863382,0.128630191,44.38289742,47.59450203,47.04946952,0.08,-0.045,0.01075
1.372545123,-0.000158945,0.020784179,1.372702489,1.156107745,1.13263837,0.08,-0.05,0.01075
